desc,sql,tag,dialect
Calculate average price in products,SELECT avg(price) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Finance,BigQuery
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Finance,BigQuery
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Product,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
Find products with name greater than 721,SELECT * FROM products WHERE name > 955 LIMIT 100,Product,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Product,Postgres
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Postgres
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Snowflake
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Postgres
Count total products by name,"SELECT name, count(*) FROM products GROUP BY name ORDER BY 2 DESC",Finance,Snowflake
Count total users by email,"SELECT email, count(*) FROM users GROUP BY email ORDER BY 2 DESC",Marketing,Snowflake
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Sales,Postgres
Count total users by country,"SELECT country, count(*) FROM users GROUP BY country ORDER BY 2 DESC",Marketing,BigQuery
Count total subscriptions by start_date,"SELECT start_date, count(*) FROM subscriptions GROUP BY start_date ORDER BY 2 DESC",Engineering,BigQuery
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Product,BigQuery
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Support,Snowflake
Find products with price greater than 271,SELECT * FROM products WHERE price > 680 LIMIT 100,Product,Snowflake
Count total logs by timestamp,"SELECT timestamp, count(*) FROM logs GROUP BY timestamp ORDER BY 2 DESC",Support,BigQuery
Find orders with status greater than 698,SELECT * FROM orders WHERE status > 18 LIMIT 100,Finance,Postgres
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Support,Snowflake
Count total products by id,"SELECT id, count(*) FROM products GROUP BY id ORDER BY 2 DESC",Finance,BigQuery
Count total events by event_id,"SELECT event_id, count(*) FROM events GROUP BY event_id ORDER BY 2 DESC",Finance,Postgres
Count total subscriptions by mrr,"SELECT mrr, count(*) FROM subscriptions GROUP BY mrr ORDER BY 2 DESC",Engineering,Postgres
Count total events by event_type,"SELECT event_type, count(*) FROM events GROUP BY event_type ORDER BY 2 DESC",Finance,BigQuery
Find logs with message greater than 273,SELECT * FROM logs WHERE message > 175 LIMIT 100,Finance,Snowflake
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Sales,Postgres
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
Find events with event_id greater than 84,SELECT * FROM events WHERE event_id > 82 LIMIT 100,Product,BigQuery
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Finance,Postgres
Monthly trend of event_type for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_type) FROM events GROUP BY 1 ORDER BY 1",Marketing,BigQuery
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Support,Postgres
Count total subscriptions by start_date,"SELECT start_date, count(*) FROM subscriptions GROUP BY start_date ORDER BY 2 DESC",Marketing,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Marketing,Postgres
Calculate average event_type in events,SELECT avg(event_type) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Postgres
Find logs with timestamp greater than 577,SELECT * FROM logs WHERE timestamp > 50 LIMIT 100,Marketing,BigQuery
Find orders with created_at greater than 655,SELECT * FROM orders WHERE created_at > 715 LIMIT 100,Sales,Snowflake
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Support,BigQuery
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Marketing,Postgres
Find users with id greater than 816,SELECT * FROM users WHERE id > 748 LIMIT 100,Finance,Snowflake
Count total users by country,"SELECT country, count(*) FROM users GROUP BY country ORDER BY 2 DESC",Product,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
Calculate average url in events,SELECT avg(url) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Support,BigQuery
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
Count total subscriptions by id,"SELECT id, count(*) FROM subscriptions GROUP BY id ORDER BY 2 DESC",Finance,Postgres
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
Monthly trend of stock_level for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(stock_level) FROM products GROUP BY 1 ORDER BY 1",Engineering,Snowflake
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Postgres
Count total logs by service_name,"SELECT service_name, count(*) FROM logs GROUP BY service_name ORDER BY 2 DESC",Engineering,BigQuery
Count total users by status,"SELECT status, count(*) FROM users GROUP BY status ORDER BY 2 DESC",Engineering,Postgres
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Support,BigQuery
Find subscriptions with start_date greater than 718,SELECT * FROM subscriptions WHERE start_date > 139 LIMIT 100,Engineering,Postgres
Find events with timestamp greater than 431,SELECT * FROM events WHERE timestamp > 254 LIMIT 100,Engineering,BigQuery
Calculate average timestamp in events,SELECT avg(timestamp) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Product,Postgres
Find events with event_type greater than 14,SELECT * FROM events WHERE event_type > 581 LIMIT 100,Engineering,Postgres
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Engineering,BigQuery
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Sales,Snowflake
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Support,Postgres
Count total subscriptions by id,"SELECT id, count(*) FROM subscriptions GROUP BY id ORDER BY 2 DESC",Finance,Postgres
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Support,BigQuery
Count total products by price,"SELECT price, count(*) FROM products GROUP BY price ORDER BY 2 DESC",Engineering,BigQuery
Count total logs by timestamp,"SELECT timestamp, count(*) FROM logs GROUP BY timestamp ORDER BY 2 DESC",Product,Snowflake
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Sales,Postgres
Count total logs by level,"SELECT level, count(*) FROM logs GROUP BY level ORDER BY 2 DESC",Engineering,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
Count total logs by timestamp,"SELECT timestamp, count(*) FROM logs GROUP BY timestamp ORDER BY 2 DESC",Product,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Engineering,BigQuery
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Marketing,BigQuery
Calculate average mrr in subscriptions,SELECT avg(mrr) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Support,Postgres
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Marketing,Postgres
Find orders with amount greater than 673,SELECT * FROM orders WHERE amount > 102 LIMIT 100,Finance,Snowflake
Find events with session_id greater than 888,SELECT * FROM events WHERE session_id > 594 LIMIT 100,Support,BigQuery
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Sales,BigQuery
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Snowflake
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Support,Postgres
Find subscriptions with id greater than 978,SELECT * FROM subscriptions WHERE id > 941 LIMIT 100,Support,Snowflake
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Snowflake
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
Count total products by id,"SELECT id, count(*) FROM products GROUP BY id ORDER BY 2 DESC",Support,BigQuery
Count total events by event_type,"SELECT event_type, count(*) FROM events GROUP BY event_type ORDER BY 2 DESC",Sales,BigQuery
Monthly trend of event_type for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_type) FROM events GROUP BY 1 ORDER BY 1",Sales,Snowflake
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
Find subscriptions with start_date greater than 386,SELECT * FROM subscriptions WHERE start_date > 829 LIMIT 100,Support,BigQuery
Count total users by id,"SELECT id, count(*) FROM users GROUP BY id ORDER BY 2 DESC",Engineering,Snowflake
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Product,Postgres
Find logs with message greater than 765,SELECT * FROM logs WHERE message > 670 LIMIT 100,Finance,Snowflake
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Sales,BigQuery
Find events with url greater than 691,SELECT * FROM events WHERE url > 723 LIMIT 100,Product,BigQuery
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Sales,Postgres
Count total products by price,"SELECT price, count(*) FROM products GROUP BY price ORDER BY 2 DESC",Finance,Postgres
Find products with stock_level greater than 643,SELECT * FROM products WHERE stock_level > 956 LIMIT 100,Engineering,BigQuery
Find subscriptions with user_id greater than 869,SELECT * FROM subscriptions WHERE user_id > 735 LIMIT 100,Support,BigQuery
Count total orders by id,"SELECT id, count(*) FROM orders GROUP BY id ORDER BY 2 DESC",Product,Postgres
Find logs with level greater than 220,SELECT * FROM logs WHERE level > 585 LIMIT 100,Support,Postgres
Find events with event_type greater than 391,SELECT * FROM events WHERE event_type > 469 LIMIT 100,Product,Postgres
Find subscriptions with id greater than 424,SELECT * FROM subscriptions WHERE id > 963 LIMIT 100,Marketing,Postgres
Find logs with timestamp greater than 766,SELECT * FROM logs WHERE timestamp > 569 LIMIT 100,Product,Snowflake
Find events with url greater than 976,SELECT * FROM events WHERE url > 782 LIMIT 100,Product,BigQuery
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Support,Snowflake
Count total users by id,"SELECT id, count(*) FROM users GROUP BY id ORDER BY 2 DESC",Marketing,BigQuery
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Support,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Finance,BigQuery
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Product,BigQuery
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Snowflake
Find logs with id greater than 363,SELECT * FROM logs WHERE id > 369 LIMIT 100,Sales,Snowflake
Calculate average mrr in subscriptions,SELECT avg(mrr) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Postgres
Monthly trend of url for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(url) FROM events GROUP BY 1 ORDER BY 1",Product,Postgres
Count total orders by created_at,"SELECT created_at, count(*) FROM orders GROUP BY created_at ORDER BY 2 DESC",Sales,Postgres
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Sales,Snowflake
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Sales,BigQuery
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Finance,Postgres
Find products with stock_level greater than 679,SELECT * FROM products WHERE stock_level > 691 LIMIT 100,Sales,Snowflake
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Marketing,Postgres
Find subscriptions with mrr greater than 589,SELECT * FROM subscriptions WHERE mrr > 456 LIMIT 100,Sales,BigQuery
Monthly trend of event_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_id) FROM events GROUP BY 1 ORDER BY 1",Product,Postgres
Count total products by id,"SELECT id, count(*) FROM products GROUP BY id ORDER BY 2 DESC",Marketing,BigQuery
Find orders with user_id greater than 289,SELECT * FROM orders WHERE user_id > 379 LIMIT 100,Marketing,BigQuery
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Finance,BigQuery
Count total orders by status,"SELECT status, count(*) FROM orders GROUP BY status ORDER BY 2 DESC",Product,Snowflake
Find products with price greater than 108,SELECT * FROM products WHERE price > 557 LIMIT 100,Product,Snowflake
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Snowflake
Count total products by name,"SELECT name, count(*) FROM products GROUP BY name ORDER BY 2 DESC",Engineering,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Support,Postgres
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Marketing,Snowflake
Find products with name greater than 921,SELECT * FROM products WHERE name > 621 LIMIT 100,Product,Snowflake
Find orders with id greater than 237,SELECT * FROM orders WHERE id > 141 LIMIT 100,Support,Postgres
Count total events by session_id,"SELECT session_id, count(*) FROM events GROUP BY session_id ORDER BY 2 DESC",Finance,Snowflake
Calculate average event_id in events,SELECT avg(event_id) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Postgres
Find users with id greater than 811,SELECT * FROM users WHERE id > 136 LIMIT 100,Product,Postgres
Count total subscriptions by plan_type,"SELECT plan_type, count(*) FROM subscriptions GROUP BY plan_type ORDER BY 2 DESC",Engineering,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
Count total subscriptions by mrr,"SELECT mrr, count(*) FROM subscriptions GROUP BY mrr ORDER BY 2 DESC",Product,Postgres
Count total subscriptions by plan_type,"SELECT plan_type, count(*) FROM subscriptions GROUP BY plan_type ORDER BY 2 DESC",Product,Postgres
Calculate average session_id in events,SELECT avg(session_id) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Snowflake
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Finance,Postgres
Monthly trend of stock_level for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(stock_level) FROM products GROUP BY 1 ORDER BY 1",Finance,Snowflake
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Sales,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
Monthly trend of stock_level for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(stock_level) FROM products GROUP BY 1 ORDER BY 1",Engineering,BigQuery
Find logs with message greater than 887,SELECT * FROM logs WHERE message > 81 LIMIT 100,Marketing,BigQuery
Count total products by stock_level,"SELECT stock_level, count(*) FROM products GROUP BY stock_level ORDER BY 2 DESC",Marketing,Snowflake
Calculate average mrr in subscriptions,SELECT avg(mrr) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Product,Postgres
Count total events by event_type,"SELECT event_type, count(*) FROM events GROUP BY event_type ORDER BY 2 DESC",Engineering,BigQuery
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Support,BigQuery
Find subscriptions with start_date greater than 497,SELECT * FROM subscriptions WHERE start_date > 692 LIMIT 100,Product,Snowflake
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Finance,Postgres
Monthly trend of stock_level for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(stock_level) FROM products GROUP BY 1 ORDER BY 1",Finance,Postgres
Calculate average event_id in events,SELECT avg(event_id) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Snowflake
Find subscriptions with user_id greater than 646,SELECT * FROM subscriptions WHERE user_id > 648 LIMIT 100,Finance,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Support,Snowflake
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Snowflake
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Snowflake
Count total logs by message,"SELECT message, count(*) FROM logs GROUP BY message ORDER BY 2 DESC",Finance,BigQuery
Monthly trend of timestamp for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(timestamp) FROM events GROUP BY 1 ORDER BY 1",Marketing,BigQuery
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Product,Snowflake
Find subscriptions with plan_type greater than 72,SELECT * FROM subscriptions WHERE plan_type > 38 LIMIT 100,Product,Postgres
Find orders with amount greater than 37,SELECT * FROM orders WHERE amount > 793 LIMIT 100,Support,Snowflake
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Finance,BigQuery
Count total orders by amount,"SELECT amount, count(*) FROM orders GROUP BY amount ORDER BY 2 DESC",Support,Postgres
Calculate average id in products,SELECT avg(id) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
Monthly trend of timestamp for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(timestamp) FROM events GROUP BY 1 ORDER BY 1",Sales,Postgres
Monthly trend of timestamp for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(timestamp) FROM events GROUP BY 1 ORDER BY 1",Product,Snowflake
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Support,Postgres
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Sales,Snowflake
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Finance,Snowflake
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Product,Postgres
Find subscriptions with plan_type greater than 590,SELECT * FROM subscriptions WHERE plan_type > 830 LIMIT 100,Product,Snowflake
Count total logs by id,"SELECT id, count(*) FROM logs GROUP BY id ORDER BY 2 DESC",Sales,BigQuery
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Sales,BigQuery
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Product,Postgres
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Product,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Marketing,Postgres
Count total orders by created_at,"SELECT created_at, count(*) FROM orders GROUP BY created_at ORDER BY 2 DESC",Finance,BigQuery
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Product,Postgres
Count total logs by timestamp,"SELECT timestamp, count(*) FROM logs GROUP BY timestamp ORDER BY 2 DESC",Engineering,Snowflake
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Finance,Postgres
Find orders with user_id greater than 274,SELECT * FROM orders WHERE user_id > 818 LIMIT 100,Sales,BigQuery
Count total subscriptions by start_date,"SELECT start_date, count(*) FROM subscriptions GROUP BY start_date ORDER BY 2 DESC",Finance,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
Calculate average url in events,SELECT avg(url) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Product,BigQuery
Calculate average mrr in subscriptions,SELECT avg(mrr) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Postgres
Calculate average mrr in subscriptions,SELECT avg(mrr) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Support,Postgres
Count total logs by id,"SELECT id, count(*) FROM logs GROUP BY id ORDER BY 2 DESC",Sales,Snowflake
Find logs with service_name greater than 512,SELECT * FROM logs WHERE service_name > 556 LIMIT 100,Sales,BigQuery
Find users with status greater than 496,SELECT * FROM users WHERE status > 709 LIMIT 100,Engineering,Snowflake
Find orders with created_at greater than 851,SELECT * FROM orders WHERE created_at > 325 LIMIT 100,Finance,BigQuery
Calculate average mrr in subscriptions,SELECT avg(mrr) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Sales,BigQuery
Find events with event_id greater than 897,SELECT * FROM events WHERE event_id > 252 LIMIT 100,Marketing,Snowflake
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Engineering,Snowflake
Count total orders by amount,"SELECT amount, count(*) FROM orders GROUP BY amount ORDER BY 2 DESC",Support,Snowflake
Find users with id greater than 492,SELECT * FROM users WHERE id > 764 LIMIT 100,Marketing,Snowflake
Monthly trend of event_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_id) FROM events GROUP BY 1 ORDER BY 1",Product,Postgres
Monthly trend of stock_level for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(stock_level) FROM products GROUP BY 1 ORDER BY 1",Support,Postgres
Count total users by email,"SELECT email, count(*) FROM users GROUP BY email ORDER BY 2 DESC",Engineering,BigQuery
Find products with category greater than 123,SELECT * FROM products WHERE category > 171 LIMIT 100,Engineering,BigQuery
Count total events by url,"SELECT url, count(*) FROM events GROUP BY url ORDER BY 2 DESC",Sales,Snowflake
Count total logs by timestamp,"SELECT timestamp, count(*) FROM logs GROUP BY timestamp ORDER BY 2 DESC",Sales,Snowflake
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
Count total products by stock_level,"SELECT stock_level, count(*) FROM products GROUP BY stock_level ORDER BY 2 DESC",Product,Snowflake
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Product,Snowflake
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Sales,Snowflake
Monthly trend of url for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(url) FROM events GROUP BY 1 ORDER BY 1",Engineering,BigQuery
Find orders with user_id greater than 194,SELECT * FROM orders WHERE user_id > 428 LIMIT 100,Engineering,Postgres
Find products with name greater than 471,SELECT * FROM products WHERE name > 939 LIMIT 100,Engineering,Snowflake
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Sales,BigQuery
Count total logs by message,"SELECT message, count(*) FROM logs GROUP BY message ORDER BY 2 DESC",Sales,Postgres
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
Find logs with message greater than 145,SELECT * FROM logs WHERE message > 923 LIMIT 100,Product,Postgres
Count total subscriptions by user_id,"SELECT user_id, count(*) FROM subscriptions GROUP BY user_id ORDER BY 2 DESC",Sales,Snowflake
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
Count total users by signup_date,"SELECT signup_date, count(*) FROM users GROUP BY signup_date ORDER BY 2 DESC",Marketing,Snowflake
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
Monthly trend of session_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(session_id) FROM events GROUP BY 1 ORDER BY 1",Support,BigQuery
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
Count total products by stock_level,"SELECT stock_level, count(*) FROM products GROUP BY stock_level ORDER BY 2 DESC",Marketing,Postgres
Find logs with service_name greater than 478,SELECT * FROM logs WHERE service_name > 514 LIMIT 100,Finance,BigQuery
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Product,Postgres
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Postgres
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
Monthly trend of url for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(url) FROM events GROUP BY 1 ORDER BY 1",Finance,Snowflake
